objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,PPN787980595.pdf,,,Korrespondenz,"Arango y Parreño, Francisco",1827-07-30,"Carta en la que Francisco de Arango y Parreño comunica a Alexander von Humboldt el envío a través de su primo de unos comentarios al ""Ensayo político sobre esta Isla"", y expresa su admiración por el ""filósofo viajero"".","Humboldt, Alexander von",La Habana,23.08333,-82.3,,,,application/pdf,esp,,
coll002,,,,,,,,,,,,,,,,,,
coll003,,,,,,,,,,,,,,,,,,
coll004,,,,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
